"Year Month","State","Industry","Suspicious Activity","Regulator","Relationship","Product","Instrument","Count"
"2017 ","Illinois","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","IRS","Customer","[Total]","[Total]","4"
"2017 ","Illinois","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","IRS","[Total]","[Total]","[Total]","4"
"2017 ","Illinois","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","[Total]","[Total]","[Total]","[Total]","4"
"2017 ","Illinois","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","IRS","Agent","Insurance/Annuity Products","Bank/Cashier's Check","1"
"2017 ","Illinois","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","IRS","Agent","Insurance/Annuity Products","Personal/Business Check","1"
"2017 ","Illinois","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","IRS","Agent","Insurance/Annuity Products","[Total]","2"
"2017 ","Illinois","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","IRS","Agent","[Total]","[Total]","2"
"2017 ","Illinois","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","IRS","Customer","Insurance/Annuity Products","Bank/Cashier's Check","2"
"2017 ","Illinois","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","IRS","Customer","Insurance/Annuity Products","Personal/Business Check","2"
"2017 ","Illinois","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","IRS","Customer","Insurance/Annuity Products","[Total]","4"
"2017 ","Illinois","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","IRS","Customer","[Total]","[Total]","4"
"2017 ","Illinois","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","IRS","[Total]","[Total]","[Total]","6"
"2017 ","Illinois","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","[Total]","[Total]","[Total]","[Total]","6"
"2017 ","Illinois","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","IRS","Customer","Insurance/Annuity Products","Personal/Business Check","3"
"2017 ","Illinois","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","IRS","Customer","Insurance/Annuity Products","[Total]","3"
"2017 ","Illinois","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","IRS","Customer","[Total]","[Total]","3"
"2017 ","Illinois","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","IRS","No Relationship to Institution","Insurance/Annuity Products","Personal/Business Check","1"
"2017 ","Illinois","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","IRS","No Relationship to Institution","Insurance/Annuity Products","[Total]","1"
"2017 ","Illinois","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","IRS","No Relationship to Institution","[Total]","[Total]","1"
"2017 ","Illinois","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","IRS","Other","Insurance/Annuity Products","Personal/Business Check","2"
"2017 ","Illinois","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","IRS","Other","Insurance/Annuity Products","[Total]","2"
"2017 ","Illinois","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","IRS","Other","[Total]","[Total]","2"
"2017 ","Illinois","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","IRS","[Total]","[Total]","[Total]","6"
"2017 ","Illinois","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","[Total]","[Total]","[Total]","[Total]","6"
"2017 ","Illinois","Insurance Company","Unclear or No Insurable Interest","IRS","Agent","Insurance/Annuity Products","Bank/Cashier's Check","1"
"2017 ","Illinois","Insurance Company","Unclear or No Insurable Interest","IRS","Agent","Insurance/Annuity Products","Personal/Business Check","1"
"2017 ","Illinois","Insurance Company","Unclear or No Insurable Interest","IRS","Agent","Insurance/Annuity Products","[Total]","2"
"2017 ","Illinois","Insurance Company","Unclear or No Insurable Interest","IRS","Agent","[Total]","[Total]","2"
"2017 ","Illinois","Insurance Company","Unclear or No Insurable Interest","IRS","Customer","Insurance/Annuity Products","Bank/Cashier's Check","2"
"2017 ","Illinois","Insurance Company","Unclear or No Insurable Interest","IRS","Customer","Insurance/Annuity Products","Personal/Business Check","2"
"2017 ","Illinois","Insurance Company","Unclear or No Insurable Interest","IRS","Customer","Insurance/Annuity Products","[Total]","4"
"2017 ","Illinois","Insurance Company","Unclear or No Insurable Interest","IRS","Customer","[Total]","[Total]","4"
"2017 ","Illinois","Insurance Company","Unclear or No Insurable Interest","IRS","[Total]","[Total]","[Total]","6"
"2017 ","Illinois","Insurance Company","Unclear or No Insurable Interest","[Total]","[Total]","[Total]","[Total]","6"
"2017 ","Illinois","Insurance Company","[Total]","[Total]","[Total]","[Total]","[Total]","22"
"2017 ","Indiana","Insurance Company","Excessive Insurance","IRS","Agent","Insurance/Annuity Products","Funds Transfer","3"
"2017 ","Indiana","Insurance Company","Excessive Insurance","IRS","Agent","Insurance/Annuity Products","Personal/Business Check","2"
"2017 ","Indiana","Insurance Company","Excessive Insurance","IRS","Agent","Insurance/Annuity Products","[Total]","5"
"2017 ","Indiana","Insurance Company","Excessive Insurance","IRS","Agent","[Total]","[Total]","5"
"2017 ","Indiana","Insurance Company","Excessive Insurance","IRS","Customer","Insurance/Annuity Products","Funds Transfer","1"
"2017 ","Indiana","Insurance Company","Excessive Insurance","IRS","Customer","Insurance/Annuity Products","Personal/Business Check","1"
"2017 ","Indiana","Insurance Company","Excessive Insurance","IRS","Customer","Insurance/Annuity Products","[Total]","2"
"2017 ","Indiana","Insurance Company","Excessive Insurance","IRS","Customer","[Total]","[Total]","2"
"2017 ","Indiana","Insurance Company","Excessive Insurance","IRS","No Relationship to Institution","Insurance/Annuity Products","Funds Transfer","3"
"2017 ","Indiana","Insurance Company","Excessive Insurance","IRS","No Relationship to Institution","Insurance/Annuity Products","Personal/Business Check","2"
"2017 ","Indiana","Insurance Company","Excessive Insurance","IRS","No Relationship to Institution","Insurance/Annuity Products","[Total]","5"
"2017 ","Indiana","Insurance Company","Excessive Insurance","IRS","No Relationship to Institution","[Total]","[Total]","5"
"2017 ","Indiana","Insurance Company","Excessive Insurance","IRS","[Total]","[Total]","[Total]","12"
"2017 ","Indiana","Insurance Company","Excessive Insurance","[Total]","[Total]","[Total]","[Total]","12"
"2017 ","Indiana","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","IRS","Agent","Insurance/Annuity Products","Other","1"
"2017 ","Indiana","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","IRS","Agent","Insurance/Annuity Products","Personal/Business Check","1"
"2017 ","Indiana","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","IRS","Agent","Insurance/Annuity Products","[Total]","2"
"2017 ","Indiana","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","IRS","Agent","[Total]","[Total]","2"
"2017 ","Indiana","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","IRS","Customer","Insurance/Annuity Products","Bank/Cashier's Check","1"
"2017 ","Indiana","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","IRS","Customer","Insurance/Annuity Products","U.S. Currency","1"
"2017 ","Indiana","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","IRS","Customer","Insurance/Annuity Products","[Total]","2"
"2017 ","Indiana","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","IRS","Customer","[Total]","[Total]","2"
"2017 ","Indiana","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","IRS","[Total]","[Total]","[Total]","4"
"2017 ","Indiana","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","[Total]","[Total]","[Total]","[Total]","4"
"2017 ","Indiana","Insurance Company","Other Insurance","IRS","No Relationship to Institution","Insurance/Annuity Products","Funds Transfer","14"
"2017 ","Indiana","Insurance Company","Other Insurance","IRS","No Relationship to Institution","Insurance/Annuity Products","Personal/Business Check","2"
"2017 ","Indiana","Insurance Company","Other Insurance","IRS","No Relationship to Institution","Insurance/Annuity Products","[Total]","16"
"2017 ","Indiana","Insurance Company","Other Insurance","IRS","No Relationship to Institution","[Total]","[Total]","16"
"2017 ","Indiana","Insurance Company","Other Insurance","IRS","[Total]","[Total]","[Total]","16"
"2017 ","Indiana","Insurance Company","Other Insurance","[Total]","[Total]","[Total]","[Total]","16"
"2017 ","Indiana","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","IRS","Agent","Insurance/Annuity Products","Funds Transfer","3"
"2017 ","Indiana","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","IRS","Agent","Insurance/Annuity Products","Personal/Business Check","4"
"2017 ","Indiana","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","IRS","Agent","Insurance/Annuity Products","[Total]","7"
"2017 ","Indiana","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","IRS","Agent","[Total]","[Total]","7"
"2017 ","Indiana","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","IRS","Customer","Insurance/Annuity Products","Funds Transfer","1"
"2017 ","Indiana","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","IRS","Customer","Insurance/Annuity Products","Personal/Business Check","5"
"2017 ","Indiana","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","IRS","Customer","Insurance/Annuity Products","[Total]","6"
"2017 ","Indiana","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","IRS","Customer","[Total]","[Total]","6"
"2017 ","Indiana","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","IRS","No Relationship to Institution","Insurance/Annuity Products","Funds Transfer","25"
"2017 ","Indiana","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","IRS","No Relationship to Institution","Insurance/Annuity Products","Personal/Business Check","5"
"2017 ","Indiana","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","IRS","No Relationship to Institution","Insurance/Annuity Products","[Total]","30"
"2017 ","Indiana","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","IRS","No Relationship to Institution","[Total]","[Total]","30"
"2017 ","Indiana","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","IRS","[Total]","[Total]","[Total]","43"
"2017 ","Indiana","Insurance Company","Proceeds Sent to or Received from Unrelated Third Party","[Total]","[Total]","[Total]","[Total]","43"
"2017 ","Indiana","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","IRS","Agent","Insurance/Annuity Products","Funds Transfer","2"
"2017 ","Indiana","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","IRS","Agent","Insurance/Annuity Products","Personal/Business Check","2"
"2017 ","Indiana","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","IRS","Agent","Insurance/Annuity Products","[Total]","4"
"2017 ","Indiana","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","IRS","Agent","[Total]","[Total]","4"
"2017 ","Indiana","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","IRS","Customer","Insurance/Annuity Products","Funds Transfer","1"
"2017 ","Indiana","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","IRS","Customer","Insurance/Annuity Products","Personal/Business Check","1"
"2017 ","Indiana","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","IRS","Customer","Insurance/Annuity Products","[Total]","2"
"2017 ","Indiana","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","IRS","Customer","[Total]","[Total]","2"
"2017 ","Indiana","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","IRS","No Relationship to Institution","Insurance/Annuity Products","Funds Transfer","2"
"2017 ","Indiana","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","IRS","No Relationship to Institution","Insurance/Annuity Products","Personal/Business Check","2"
"2017 ","Indiana","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","IRS","No Relationship to Institution","Insurance/Annuity Products","[Total]","4"
"2017 ","Indiana","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","IRS","No Relationship to Institution","[Total]","[Total]","4"
"2017 ","Indiana","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","IRS","[Total]","[Total]","[Total]","10"
"2017 ","Indiana","Insurance Company","Suspicious Life Settlement Sales Insurance (E.g., STOLIs, Viaticals)","[Total]","[Total]","[Total]","[Total]","10"
"2017 ","Indiana","Insurance Company","Suspicious Termination of Policy or Contract","IRS","Agent","Insurance/Annuity Products","Funds Transfer","3"
"2017 ","Indiana","Insurance Company","Suspicious Termination of Policy or Contract","IRS","Agent","Insurance/Annuity Products","Personal/Business Check","3"
"2017 ","Indiana","Insurance Company","Suspicious Termination of Policy or Contract","IRS","Agent","Insurance/Annuity Products","[Total]","6"
"2017 ","Indiana","Insurance Company","Suspicious Termination of Policy or Contract","IRS","Agent","[Total]","[Total]","6"
"2017 ","Indiana","Insurance Company","Suspicious Termination of Policy or Contract","IRS","Customer","Insurance/Annuity Products","Funds Transfer","1"
"2017 ","Indiana","Insurance Company","Suspicious Termination of Policy or Contract","IRS","Customer","Insurance/Annuity Products","Personal/Business Check","1"
"2017 ","Indiana","Insurance Company","Suspicious Termination of Policy or Contract","IRS","Customer","Insurance/Annuity Products","[Total]","2"
"2017 ","Indiana","Insurance Company","Suspicious Termination of Policy or Contract","IRS","Customer","[Total]","[Total]","2"
"2017 ","Indiana","Insurance Company","Suspicious Termination of Policy or Contract","IRS","No Relationship to Institution","Insurance/Annuity Products","Funds Transfer","2"
"2017 ","Indiana","Insurance Company","Suspicious Termination of Policy or Contract","IRS","No Relationship to Institution","Insurance/Annuity Products","Personal/Business Check","2"
"2017 ","Indiana","Insurance Company","Suspicious Termination of Policy or Contract","IRS","No Relationship to Institution","Insurance/Annuity Products","[Total]","4"
"2017 ","Indiana","Insurance Company","Suspicious Termination of Policy or Contract","IRS","No Relationship to Institution","[Total]","[Total]","4"
"2017 ","Indiana","Insurance Company","Suspicious Termination of Policy or Contract","IRS","[Total]","[Total]","[Total]","12"
"2017 ","Indiana","Insurance Company","Suspicious Termination of Policy or Contract","[Total]","[Total]","[Total]","[Total]","12"
"2017 ","Indiana","Insurance Company","Unclear or No Insurable Interest","IRS","Agent","Insurance/Annuity Products","Funds Transfer","2"
"2017 ","Indiana","Insurance Company","Unclear or No Insurable Interest","IRS","Agent","Insurance/Annuity Products","Personal/Business Check","2"
"2017 ","Indiana","Insurance Company","Unclear or No Insurable Interest","IRS","Agent","Insurance/Annuity Products","[Total]","4"
"2017 ","Indiana","Insurance Company","Unclear or No Insurable Interest","IRS","Agent","[Total]","[Total]","4"
"2017 ","Indiana","Insurance Company","Unclear or No Insurable Interest","IRS","Customer","Insurance/Annuity Products","Funds Transfer","1"
"2017 ","Indiana","Insurance Company","Unclear or No Insurable Interest","IRS","Customer","Insurance/Annuity Products","Personal/Business Check","1"
"2017 ","Indiana","Insurance Company","Unclear or No Insurable Interest","IRS","Customer","Insurance/Annuity Products","[Total]","2"
"2017 ","Indiana","Insurance Company","Unclear or No Insurable Interest","IRS","Customer","[Total]","[Total]","2"
"2017 ","Indiana","Insurance Company","Unclear or No Insurable Interest","IRS","No Relationship to Institution","Insurance/Annuity Products","Funds Transfer","2"
"2017 ","Indiana","Insurance Company","Unclear or No Insurable Interest","IRS","No Relationship to Institution","Insurance/Annuity Products","Personal/Business Check","2"
"2017 ","Indiana","Insurance Company","Unclear or No Insurable Interest","IRS","No Relationship to Institution","Insurance/Annuity Products","[Total]","4"
"2017 ","Indiana","Insurance Company","Unclear or No Insurable Interest","IRS","No Relationship to Institution","[Total]","[Total]","4"
"2017 ","Indiana","Insurance Company","Unclear or No Insurable Interest","IRS","[Total]","[Total]","[Total]","10"
"2017 ","Indiana","Insurance Company","Unclear or No Insurable Interest","[Total]","[Total]","[Total]","[Total]","10"
"2017 ","Indiana","Insurance Company","[Total]","[Total]","[Total]","[Total]","[Total]","107"
"2017 ","Iowa","Insurance Company","Excessive Insurance","IRS","Agent","Insurance/Annuity Products","Bank/Cashier's Check","32"
"2017 ","Iowa","Insurance Company","Excessive Insurance","IRS","Agent","Insurance/Annuity Products","Funds Transfer","32"
"2017 ","Iowa","Insurance Company","Excessive Insurance","IRS","Agent","Insurance/Annuity Products","Money Orders","33"
"2017 ","Iowa","Insurance Company","Excessive Insurance","IRS","Agent","Insurance/Annuity Products","Personal/Business Check","32"
"2017 ","Iowa","Insurance Company","Excessive Insurance","IRS","Agent","Insurance/Annuity Products","[Total]","129"
"2017 ","Iowa","Insurance Company","Excessive Insurance","IRS","Agent","[Total]","[Total]","129"
"2017 ","Iowa","Insurance Company","Excessive Insurance","IRS","Customer","Insurance/Annuity Products","Bank/Cashier's Check","28"
"2017 ","Iowa","Insurance Company","Excessive Insurance","IRS","Customer","Insurance/Annuity Products","Funds Transfer","29"
"2017 ","Iowa","Insurance Company","Excessive Insurance","IRS","Customer","Insurance/Annuity Products","Money Orders","40"
"2017 ","Iowa","Insurance Company","Excessive Insurance","IRS","Customer","Insurance/Annuity Products","Personal/Business Check","31"
"2017 ","Iowa","Insurance Company","Excessive Insurance","IRS","Customer","Insurance/Annuity Products","[Total]","128"
"2017 ","Iowa","Insurance Company","Excessive Insurance","IRS","Customer","[Total]","[Total]","128"
"2017 ","Iowa","Insurance Company","Excessive Insurance","IRS","[Total]","[Total]","[Total]","257"
"2017 ","Iowa","Insurance Company","Excessive Insurance","[Total]","[Total]","[Total]","[Total]","257"
"2017 ","Iowa","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","IRS","Agent","Insurance/Annuity Products","Bank/Cashier's Check","20"
"2017 ","Iowa","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","IRS","Agent","Insurance/Annuity Products","Funds Transfer","20"
"2017 ","Iowa","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","IRS","Agent","Insurance/Annuity Products","Money Orders","21"
"2017 ","Iowa","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","IRS","Agent","Insurance/Annuity Products","Personal/Business Check","20"
"2017 ","Iowa","Insurance Company","Excessive or Unusal Cash Borrowing against Policy/Annuity","IRS","Agent","Insurance/Annuity Products","[Total]","81"
